payment_pk,date_id,order_id,method,status,amount,transaction_ref
1,20241127,1000000000,CARD,PAID,63636.0,TX-1HW3GM7Q6LFJ
2,0,1000000001,GATEWAY,PENDING,78146.4,
3,20250228,1000000002,CARD,PAID,32064.6,TX-8PBOWVHD7B4I
4,20250302,1000000003,CARD,PAID,30855.0,TX-SQ97NPWQ6YK8
5,20240401,1000000004,CARD,PAID,53451.75,TX-F7761XS1CXDC
6,20240313,1000000005,CASH,PAID,29040.0,TX-RNWJHS1F8G0Y
7,20250717,1000000006,CARD,REFUNDED,18442.5,TX-X2AJGZ36N3FR
8,20241114,1000000007,CARD,PAID,17535.0,TX-ZRHVYPGQTDRK
9,20240825,1000000008,CARD,PAID,109011.0,TX-CHL80ZD8IP5O
10,20240331,1000000009,GATEWAY,PAID,16718.25,TX-J2VP8C6ROCZQ
11,20240314,1000000010,TRANSFER,REFUNDED,17787.0,TX-1UN1COQAVK65
12,20250617,1000000011,CASH,PAID,41309.4,TX-U5CXUHGK42O6
13,20240812,1000000012,CARD,PAID,42688.8,TX-GS664FN80M9E
14,20250323,1000000013,CASH,PAID,123283.88,TX-BZOPSO6JPRZD
15,20250820,1000000014,CARD,PAID,15129.6,TX-AD0J2NGELHNC
16,0,1000000015,CARD,FAILED,29659.2,
17,20250829,1000000016,GATEWAY,PAID,28642.8,TX-Y2BIADVO9F18
18,20250220,1000000017,CARD,PAID,80912.7,TX-O7MTCOYJ61AJ
19,0,1000000018,GATEWAY,FAILED,100107.9,
20,20250423,1000000019,CARD,PAID,46023.24,TX-EMS8E80975XQ
21,20240506,1000000020,CARD,PAID,59895.0,TX-EZKXQ80I4527
22,20250925,1000000021,CARD,PAID,29659.2,TX-BE5NW8R3MU50
23,20240402,1000000022,TRANSFER,REFUNDED,29040.0,TX-I1Q2G15R83Y7
24,20250708,1000000023,CASH,PAID,82764.0,TX-3TFFR8COO0FP
25,20250303,1000000024,CARD,PAID,14229.6,TX-91AAY0A1V9Q3
26,20250827,1000000025,CARD,PAID,86005.88,TX-SVYYRKPOYWM4
27,20241215,1000000026,CARD,PAID,17535.0,TX-9O9IH4O8JG78
28,20241202,1000000027,CARD,PAID,28488.0,TX-C245O7O7GRI9
29,20240518,1000000028,CARD,PAID,14520.0,TX-J6HQJG5HEW5S
30,20250914,1000000029,CARD,PAID,79235.4,TX-DRZ2QYPBHF3H
31,20250611,1000000030,CARD,PAID,41382.0,TX-13PMNCYBLOP6
32,20250513,1000000031,CASH,PAID,28459.2,TX-PFV0D0IML4NF
33,20250316,1000000032,CARD,PAID,33870.0,TX-UM2KN2XHQSHB
34,20240608,1000000033,CASH,PAID,17787.0,TX-PO2UBATPZ00H
35,20241119,1000000034,CASH,PAID,103318.88,TX-922WAHDO61XN
