session_pk,date_id,customer_id,source,device,duration_seconds
1,20240202,791.0,ads,desktop,57900
2,20250726,332.0,direct,desktop,43040
3,20240604,,email,mobile,11216
4,20240324,771.0,ads,mobile,59413
5,20240822,908.0,direct,mobile,61204
6,20240322,1222.0,referral,mobile,23418
7,20241003,490.0,ads,mobile,28264
8,20241011,705.0,ads,mobile,68947
9,20250311,1161.0,direct,mobile,71623
10,20240430,841.0,ads,mobile,12366
11,20250424,,referral,mobile,86496
12,20240209,162.0,social,mobile,21890
13,20240305,,social,mobile,0
14,20250914,1477.0,ads,mobile,25412
15,20240612,,social,mobile,13477
16,20250828,60.0,ads,desktop,12938
17,20240322,520.0,direct,mobile,4424
18,20241102,,email,desktop,79121
19,20240406,,direct,mobile,87671
20,20240607,,ads,desktop,22881
21,20240528,575.0,direct,mobile,14127
22,20250427,508.0,direct,desktop,87279
23,20250118,,ads,mobile,84574
24,20240617,,ads,desktop,27164
25,20240811,99.0,direct,mobile,43673
26,20250424,1277.0,ads,mobile,44745
27,20240102,,direct,mobile,0
28,20250503,95.0,direct,tablet,45317
29,20250326,1286.0,direct,mobile,85798
30,20240307,1176.0,direct,mobile,77885
31,20241001,1053.0,ads,desktop,41168
32,20240727,290.0,ads,mobile,61186
33,20240117,357.0,direct,mobile,29462
34,20240105,391.0,ads,mobile,56261
35,20250830,830.0,direct,desktop,27150
36,20250722,1076.0,ads,desktop,71802
37,20240719,,referral,mobile,82719
38,20250109,622.0,email,desktop,36308
39,20250509,990.0,social,mobile,26184
40,20250415,902.0,direct,desktop,30316
41,20250723,572.0,direct,mobile,0
42,20240122,1088.0,direct,mobile,81565
43,20241109,1101.0,referral,mobile,3427
44,20240531,833.0,direct,mobile,75225
45,20240603,,ads,mobile,15880
46,20241228,1371.0,direct,mobile,16900
47,20240628,1090.0,direct,mobile,80294
48,20250219,250.0,direct,mobile,24808
49,20250807,135.0,direct,desktop,83336
50,20241124,334.0,direct,mobile,26459
51,20250807,779.0,direct,mobile,83773
52,20240124,1396.0,email,desktop,21585
53,20240315,,ads,mobile,86052
54,20250624,,direct,mobile,37172
55,20250329,732.0,direct,mobile,54114
56,20250611,1267.0,ads,desktop,6980
57,20241129,298.0,direct,mobile,54542
58,20241019,933.0,ads,mobile,43674
59,20240225,550.0,email,desktop,30401
60,20240501,,direct,mobile,45287
61,20250617,342.0,social,mobile,20003
62,20240109,568.0,referral,mobile,0
63,20240823,498.0,email,tablet,15036
64,20250213,,ads,mobile,27384
65,20250805,1109.0,direct,desktop,1545
66,20240718,1211.0,ads,mobile,48729
67,20241227,1443.0,direct,mobile,72660
68,20241001,811.0,email,desktop,10697
69,20250811,1160.0,direct,desktop,0
70,20240330,455.0,direct,mobile,83761
71,20240608,601.0,direct,mobile,79419
72,20240831,431.0,ads,mobile,45650
73,20240412,,ads,desktop,68474
74,20250909,80.0,ads,mobile,35059
75,20240315,,referral,mobile,0
76,20241207,859.0,direct,mobile,36399
77,20250319,,social,mobile,12737
78,20240903,,referral,desktop,0
79,20240220,233.0,ads,mobile,85277
80,20240219,1176.0,direct,desktop,87038
81,20250723,,direct,mobile,30690
82,20250707,,social,desktop,20698
83,20240924,181.0,direct,mobile,79038
84,20240406,1064.0,ads,mobile,51557
85,20250608,166.0,direct,mobile,1844
86,20240531,1230.0,referral,mobile,51991
87,20240422,,referral,tablet,20079
88,20240120,747.0,direct,mobile,62606
89,20240101,927.0,ads,tablet,4575
90,20250129,1009.0,direct,mobile,43968
91,20250528,1334.0,social,mobile,0
92,20240929,51.0,email,desktop,63095
93,20241021,1436.0,referral,mobile,16827
94,20250120,859.0,direct,desktop,2736
95,20240922,1298.0,referral,mobile,51051
96,20241201,51.0,direct,mobile,50978
97,20241002,885.0,ads,mobile,77056
98,20240617,505.0,direct,mobile,24782
99,20240203,,ads,mobile,78413
100,20240211,1.0,direct,mobile,81636
101,20241229,781.0,direct,desktop,74545
102,20240328,540.0,ads,mobile,35711
103,20250317,,ads,mobile,61852
104,20250707,,direct,mobile,70197
105,20250809,,ads,desktop,0
106,20250326,,referral,mobile,65036
107,20240322,718.0,direct,mobile,26357
108,20250605,,ads,mobile,32378
109,20250222,937.0,social,mobile,55562
110,20241217,855.0,ads,mobile,21527
111,20250212,1396.0,direct,mobile,32326
112,20250820,465.0,email,mobile,17363
113,20250409,,social,mobile,60551
114,20250324,,direct,mobile,49269
115,20240409,,ads,tablet,7187
116,20240707,785.0,ads,desktop,46563
117,20250325,49.0,ads,desktop,11158
118,20240303,725.0,email,desktop,81993
119,20241006,647.0,ads,mobile,42176
120,20250701,1014.0,direct,mobile,53557
121,20250424,892.0,direct,mobile,20024
122,20250202,130.0,referral,mobile,56691
123,20240525,633.0,referral,desktop,55069
124,20240108,,direct,desktop,8093
125,20241228,532.0,direct,mobile,0
126,20241130,997.0,email,desktop,55528
127,20250814,11.0,direct,mobile,62624
128,20240629,,referral,mobile,51869
129,20240201,1331.0,referral,mobile,54020
130,20240816,,referral,mobile,38388
131,20240228,1084.0,ads,mobile,37361
132,20250929,1201.0,email,mobile,27503
133,20250504,,direct,desktop,0
134,20250821,367.0,email,mobile,36623
135,20240304,710.0,direct,mobile,18399
136,20250102,,ads,mobile,33090
137,20240125,1389.0,email,desktop,77757
138,20250921,,social,mobile,21775
139,20240609,1160.0,email,desktop,32698
140,20250630,1252.0,ads,tablet,55288
141,20240220,,direct,desktop,65972
142,20241217,1438.0,ads,mobile,61070
143,20240726,670.0,social,mobile,78546
144,20240411,,ads,desktop,4718
145,20240814,1207.0,ads,tablet,26088
146,20241118,1110.0,ads,tablet,21072
147,20240529,94.0,ads,desktop,20208
148,20240421,1158.0,direct,mobile,73805
149,20250311,,email,mobile,83221
150,20250219,252.0,direct,mobile,81296
151,20240319,625.0,ads,desktop,78501
152,20240513,919.0,email,desktop,75074
153,20240807,1053.0,ads,mobile,55704
154,20241026,1381.0,direct,desktop,35762
155,20250524,591.0,social,mobile,2914
156,20240910,1452.0,direct,mobile,73579
157,20240809,864.0,direct,desktop,71621
158,20240110,744.0,ads,mobile,74678
159,20240918,653.0,ads,mobile,86971
160,20250515,974.0,direct,mobile,76192
161,20241110,,direct,mobile,33855
162,20250603,,ads,mobile,42250
163,20240418,,direct,mobile,2110
164,20240717,1105.0,ads,tablet,11573
165,20250907,1211.0,ads,desktop,58051
166,20241029,,social,mobile,86778
167,20250206,,ads,desktop,37248
168,20250422,1017.0,ads,desktop,83653
169,20240310,267.0,direct,mobile,7223
170,20250219,1228.0,direct,desktop,11254
171,20250829,1121.0,direct,mobile,13750
172,20250904,,direct,desktop,70334
173,20241022,1380.0,email,mobile,66850
174,20240311,,direct,mobile,18892
175,20240729,605.0,email,mobile,31361
176,20240129,,social,mobile,58809
177,20250822,1309.0,social,desktop,49891
178,20250313,1393.0,direct,mobile,53858
179,20240815,331.0,ads,mobile,6700
180,20241211,1288.0,referral,mobile,72916
181,20250725,524.0,ads,mobile,65074
182,20250412,1374.0,social,mobile,0
183,20250510,67.0,referral,desktop,73696
184,20241216,,ads,mobile,7868
185,20250911,662.0,direct,mobile,66717
186,20250915,1332.0,ads,mobile,18839
187,20241203,1163.0,direct,mobile,23003
188,20240121,665.0,direct,desktop,52951
189,20250302,1409.0,direct,mobile,73670
190,20250607,502.0,direct,mobile,28814
191,20250725,744.0,direct,desktop,12335
192,20240725,686.0,direct,desktop,32823
193,20240609,,referral,mobile,0
194,20240609,145.0,direct,desktop,54425
195,20241119,,direct,mobile,15874
196,20240210,865.0,direct,mobile,10609
197,20241214,,social,tablet,0
198,20240120,1167.0,referral,mobile,17091
199,20241027,,direct,desktop,56259
200,20241213,,ads,mobile,7108
201,20250511,170.0,ads,desktop,73412
202,20240408,958.0,direct,mobile,62394
203,20240208,,email,desktop,72166
204,20250529,541.0,email,desktop,20168
205,20250608,119.0,ads,desktop,34891
206,20240210,228.0,ads,mobile,68279
207,20240707,1315.0,ads,desktop,72911
208,20240124,535.0,ads,mobile,63953
209,20250802,,ads,mobile,69518
210,20250904,601.0,ads,desktop,0
211,20240716,,email,mobile,78196
212,20250531,1417.0,direct,mobile,84163
213,20241231,,direct,desktop,18156
214,20241114,436.0,ads,desktop,10648
215,20240121,706.0,ads,mobile,32844
216,20240919,951.0,direct,mobile,77479
217,20240419,1266.0,ads,mobile,82997
218,20250820,928.0,direct,desktop,5036
219,20240415,,direct,desktop,37488
220,20240907,1222.0,ads,mobile,20885
221,20240421,529.0,direct,mobile,12333
222,20250830,819.0,referral,mobile,47556
223,20250328,1148.0,referral,mobile,52759
224,20240915,,direct,mobile,25493
225,20240417,834.0,ads,mobile,35748
226,20241001,604.0,ads,desktop,73773
227,20250722,,ads,mobile,58047
228,20250807,293.0,referral,mobile,89518
229,20250914,1335.0,direct,desktop,39407
230,20250306,236.0,ads,mobile,48958
231,20240822,675.0,referral,desktop,80663
232,20241123,1493.0,direct,mobile,38315
233,20250310,,direct,mobile,33637
234,20240715,,ads,mobile,63099
235,20250531,448.0,ads,mobile,29755
236,20240621,,ads,mobile,72605
237,20240805,1444.0,direct,mobile,36320
238,20240805,22.0,email,mobile,30358
239,20250208,1330.0,ads,mobile,62195
240,20250706,199.0,ads,desktop,48539
241,20240220,662.0,ads,desktop,24345
242,20250405,347.0,email,tablet,30141
